schema,table_name,approx_rows,size_bytes,rls_enabled
public,automated_messages,-1,24576,t
public,billing_dunning_events,-1,49152,t
public,bookings,467,2506752,t
public,conversation_members,-1,98304,t
public,customer_notes,15,65536,t
public,customers,178,1114112,t
public,damage_claims,6,114688,t
public,data_backups,-1,16384,t
public,deletion_requests,-1,32768,t
public,demand_intelligence_cache,39,155648,t
public,documents,12,245760,t
public,entity_comments,-1,32768,t
public,import_batches,26,49152,t
public,inspection_damage_items,-1,24576,t
public,inspection_photos,-1,24576,t
public,integration_configs,-1,24576,t
public,location_staff,-1,73728,t
public,locations,18,49152,t
public,maintenance_notify_subscribers,-1,32768,t
public,maintenance_schedules,10,163840,t
public,maintenance_windows,-1,32768,t
public,message_read_receipts,-1,16384,t
public,messages,6,81920,t
public,notification_preferences,-1,24576,t
public,notifications,3530,3334144,t
public,onboarding_progress,7,98304,t
public,onboarding_responses,-1,16384,t
public,partner_payouts,13,106496,t
public,payment_receipts,-1,16384,t
public,payments,534,1671168,t
public,payouts,-1,32768,t
public,photo_upload_batches,-1,32768,t
public,pinned_messages,-1,16384,t
public,profiles,10,98304,t
public,purged_vehicle_fingerprints,-1,32768,t
public,rari_conversations,55,106496,t
public,rari_feedback,111,81920,t
public,rari_insights,-1,49152,t
public,rari_messages,109,122880,t
public,recurring_expense_templates,-1,32768,t
public,role_audit_log,38,73728,t
public,stripe_webhook_events,-1,147456,t
public,super_admins,2,98304,t
public,team_conversations,-1,49152,t
public,team_integrations,1,65536,t
public,team_members,7,122880,t
public,team_messages,-1,114688,t
public,teams,-1,98304,t
public,unmatched_photos,525,720896,t
public,user_activity_log,-1,49152,t
public,user_dashboard_layouts,-1,65536,t
public,user_dashboard_preferences,-1,49152,t
public,user_invitations,-1,65536,t
public,user_presence,7,65536,t
public,user_roles,-1,49152,t
public,user_settings,-1,49152,t
public,vehicle_billing_snapshots,-1,24576,t
public,vehicle_change_log,124,114688,t
public,vehicle_expenses,15,131072,t
public,vehicle_inspections,3,204800,t
public,vehicle_partners,-1,49152,t
public,vehicle_photos,443,1130496,t
public,vehicle_tasks,-1,98304,t
public,vehicle_transfers,-1,32768,t
public,vehicles,396,524288,t
public,weekly_digests,-1,32768,t
public,work_order_events,-1,49152,t
public,work_orders,-1,98304,t
